Navigation type,Title,Is enabled,URL,Comment
*,Архів. ДААРК,1,https://db.archives.gov.ua/metric-books/?arch_id=11,Державний архів Автономної Республіки Крим
*,Архів. ДАВО,1,http://volyn.archives.gov.ua/,Державний архів Волинської області
*,Архів. ДАВіО,1,http://davio.gov.ua/,Державний архів Вінницької області
*,Архів. ДАДнО,1,http://dn.archives.gov.ua/,Державний архів Донецької області
*,Архів. ДАДпО,1,http://dp.archives.gov.ua/,Державний архів Дніпропетровської області
*,Архів. ДАЗО,1,http://www.archivzp.gov.ua/,Державний архів Запорізької області
*,Архів. ДАЗкО,1,https://dazo.gov.ua/,Державний архів Закарпатської області
*,Архів. ДАІФО,1,http://if.archives.gov.ua/,Державний архів Івано-Франківської області
*,Архів. ДАЖО,1,http://zhytomyr.archives.gov.ua/,Державний архів Житомирської області
*,Архів. ДАКіО,1,http://dako.gov.ua/,Державний архів Київської області
*,Архів. ДАКрО,1,http://dakiro.kr-admin.gov.ua/,Державний архів Кіровоградської області
*,Архів. ДАЛуО,1,http://lg.archives.gov.ua/,Державний архів Луганської області
*,Архів. ДАЛвО,1,http://archivelviv.gov.ua/,Державний архів Львівської області
*,Архів. ДАМк,1,http://archive.kyivcity.gov.ua/,Державний архів м. Києва
*,Архів. ДАМс,1,https://tsdea.archives.gov.ua/metric-books/?arch_id=37,Державний архів м. Севастополя
*,Архів. ДАМкО,1,http://mk.archives.gov.ua/,Державний архів Миколаївської області
*,Архів. ДАОО,1,https://archive.od.gov.ua/,Державний архів Одеської області
*,Архів. ДАПО,1,http://poltava.archives.gov.ua/,Державний архів Полтавської області
*,Архів. ДАРвО,1,http://rv.archives.gov.ua/,Державний архів Рівненської області
*,Архів. ДАСО,1,https://daso.archives.gov.ua/,Державний архів Сумської області
*,Архів. ДАТеО,1,https://te.archives.gov.ua/,Державний архів Тернопільської області
*,Архів. ДАХО,1,http://archives.kh.gov.ua/,Державний архів Харківської області
*,Архів. ДАХсО,1,http://kherson.archives.gov.ua/,Державний архів Херсонської області
*,Архів. ДАХмО,1,http://dahmo.gov.ua/,Державний архів Хмельницької області
*,Архів. ДАЧкО,1,http://ck.archives.gov.ua/,Державний архів Черкаської області
*,Архів. ДАЧнО,1,http://cn.archives.gov.ua/,Державний архів Чернігівської області
*,Архів. ДАЧвО,1,http://cv.archives.gov.ua/,Державний архів Чернівецької області
*,Архів. ЦДІАК,1,https://cdiak.archives.gov.ua/,"Центральний державний історичний архів України, м. Київ"
*,Архів. ЦДІАЛ,1,https://cdial.archives.gov.ua/,"Центральний державний історичний архів України, м. Львів"
